{14.49573};;{72.14204};24089;;24089
{11.05124};;{75.46653};24199;;24199
{7.729768};;{78.91373};24302;;24302
{4.408295};;{82.25896};24413;;24413
{0.963805};;{85.59127};24522;;24522
{-2.357668};;{89.06953};24632;;24632
{-5.679141};;{92.50597};24741;;24741
{-9.123631};;{90.94227};24.85;;24.85
{-12.44510};;{87.45203};24.96;;24.96
{-15.76658};;{84.11888};25069;;25069
{-19.21107};;{80.77368};25179;;25179
{-22.53254};;{77.31493};25289;;25289
{-25.85401};;{73.99348};25399;;25399
{-29.29850};;{70.54430};25494;;25494
{-32.61998};;{67.22197};25604;;25604
{-35.94145};;{63.90039};25713;;25713
{-39.38593};;{60.45378};25822;;25822
{-42.70740};;{57.13186};25932;;25932
{-46.02890};;{53.81059};26041;;26041
{-49.47388};;{50.36518};26151;;26151
{-52.79631};;{47.04305};26.26;;26.26
{-56.11792};;{43.59845};26364;;26364
{-59.56240};;{40.27699};26473;;26473
{-62.88567};;{36.95552};26582;;26582
{-66.20820};;{33.51103};26692;;26692
{-69.65253};;{30.18956};26801;;26801
{-72.97810};;{26.86809};26911;;26911
{-76.30093};;{23.42360};27.02;;27.02
{-79.75253};;{20.10212};27129;;27129
{-83.10027};;{16.78065};27239;;27239
{-86.55195};;{13.33616};27346;;27346
{-89.90837};;{10.01469};27455;;27455
{-92.99459};;{6.693215};27565;;27565
{-90.07288};;{3.248725};27674;;27674
{-86.71745};;{-7.274803};27774;;27774
{-83.38940};;{-3.517238};27883;;27883
{-79.91784};;{-6.838711};27993;;27993
{-76.58815};;{-10.16018};28102;;28102
{-73.26585};;{-13.60467};28212;;28212
{-69.81695};;{-16.92615};28316;;28316
{-66.49545};;{-20.24762};28426;;28426
{-63.17319};;{-23.69211};28535;;28535
{-59.72677};;{-27.01358};28645;;28645
{-56.40521};;{-30.33506};28754;;28754
{-53.08371};;{-33.77954};28863;;28863
{-49.63824};;{-37.10102};28973;;28973
{-46.31625};;{-40.42248};29082;;29082
{-42.99473};;{-43.86697};29191;;29191
{-39.55025};;{-47.18856};29291;;29291
{-36.22878};;{-50.51072};29396;;29396
{-32.90731};;{-53.95611};29495;;29495
{-29.46282};;{-57.27734};29604;;29604
{-26.14135};;{-60.59935};29714;;29714
{-22.81987};;{-64.04596};29823;;29823
{-19.37538};;{-67.36742};29932;;29932
{-16.05391};;{-70.68996};30042;;30042
{-12.73244};;{-74.13910};30151;;30151
{-9.287946};;{-77.46051};30.26;;30.26
{-5.966473};;{-80.79633};30.36;;30.36
{-2.645000};;{-84.26462};30.47;;30.47
{7.994899};;{-87.59949};30579;;30579
{4.120963};;{-91.09636};30689;;30689
{7.565453};;{-92.47515};30798;;30798
{10.88693};;{-89.03176};30907;;30907
{14.20840};;{-85.55378};31017;;31017
{17.65289};;{-82.22119};31132;;31132
{20.97436};;{-78.87613};31241;;31241
{24.29584};;{-75.42908};31348;;31348
{27.74033};;{-72.10454};31458;;31458
{31.06180};;{-68.77997};31567;;31567
{34.38327};;{-65.33604};31676;;31676
{37.82776};;{-62.01284};31786;;31786
{41.14922};;{-58.69001};31895;;31895
{44.47070};;{-55.24579};32005;;32005
{47.91539};;{-51.92382};32114;;32114
{51.23767};;{-48.60145};32223;;32223
{54.55988};;{-45.15664};32332;;32332
{58.00403};;{-41.83516};32433;;32433
{61.32647};;{-38.51370};32542;;32542
{64.64996};;{-35.06921};32652;;32652
{68.09402};;{-31.74774};32761;;32761
{71.41759};;{-28.42627};32871;;32871
{74.74317};;{-24.98178};32.98;;32.98
{78.18823};;{-21.66030};33.09;;33.09
{81.52921};;{-18.33883};33199;;33199
{84.86838};;{-14.89434};33307;;33307
{88.33712};;{-11.57287};33.41;;33.41
{91.75237};;{-8.251393};33.52;;33.52
{91.84502};;{-4.806903};33629;;33629
{88.29578};;{-1.485430};33739;;33739
{84.95049};;;33848;;33848
{81.61217};;;33957;;33957
{78.14735};;;34067;;34067
{74.82540};;;34176;;34176
{71.37674};;;34285;;34285
{68.05322};;;34393;;34393
{64.73219};;;34503;;34503
{61.28565};;;34612;;34612
{57.96323};;;34722;;34722
{54.64209};;;34831;;34831
{51.19686};;;34941;;34941
{47.87458};;;35.05;;35.05
{44.42989};;;35159;;35159
{41.10842};;;35263;;35263
{37.78696};;;35378;;35378
{34.34247};;;35488;;35488
{31.02100};;;35597;;35597
{27.69952};;;35712;;35712
{24.25503};;;35822;;35822
{20.93356};;;35931;;35931
{17.61209};;;36.04;;36.04
{14.16760};;;36.15;;36.15
{10.84612};;;36259;;36259
{7.524652};;;36363;;36363
{4.080161};;;36465;;36465
{7.586881};;;36574;;36574
{-2.685802};;;36683;;36683
{-6.007275};;;36793;;36793
{-9.328748};;;36902;;36902
{-12.77324};;;37012;;37012
{-16.09471};;;37121;;37121
{-19.41618};;;37.23;;37.23
{-22.86067};;;37332;;37332
{-26.18215};;;37441;;37441
{-29.50362};;;37551;;37551
{-32.94811};;;37.66;;37.66
{-36.26958};;;37769;;37769
{-39.59105};;;37879;;37879
{-43.03553};;;37988;;37988
{-46.35705};;;38098;;38098
{-49.67905};;;38207;;38207
{-53.12452};;;38312;;38312
{-56.44601};;;38411;;38411
{-59.76758};;;38.52;;38.52
{-63.21402};;;38629;;38629
